word,letter,public_token,hint,qr_filename,fragment_id
GAME,G,KCaSEF_uC1,🧩 فيها قوانين، فيها تحدي، وممكن تكسبني أو أخلّيك تكسر الكنترولر. 🎮,GAME-G-0.svg,14c83e04-5c6b-4d84-b256-211ad648ad52
GAME,A,1faxo-s4gi,🧩 فيها قوانين، فيها تحدي، وممكن تكسبني أو أخلّيك تكسر الكنترولر. 🎮,GAME-A-1.svg,a5c02a79-4e50-4826-8b67-fab6b507a95e
GAME,M,iBR2VlLdFm,🧩 فيها قوانين، فيها تحدي، وممكن تكسبني أو أخلّيك تكسر الكنترولر. 🎮,GAME-M-2.svg,fca954eb-dd89-43dd-b4b5-6673a4e4ebff
GAME,E,4xzpBndUKD,🧩 فيها قوانين، فيها تحدي، وممكن تكسبني أو أخلّيك تكسر الكنترولر. 🎮,GAME-E-3.svg,69232c3b-75ef-4b64-ba43-166634eb41d9
CODE,C,I4rMNoHgdz,🧩 عايز تخلي الكمبيوتر يعمل اللي في دماغك؟ لازم تكلمه بلغته الأول.,CODE-C-0.svg,642391f8-b566-4306-bbd3-594020ae9543
CODE,O,y03Bwd9fWi,🧩 عايز تخلي الكمبيوتر يعمل اللي في دماغك؟ لازم تكلمه بلغته الأول.,CODE-O-1.svg,4604616e-ded9-4b32-b0f0-2edbcfa0264a
CODE,D,sVQ9QShfyM,🧩 عايز تخلي الكمبيوتر يعمل اللي في دماغك؟ لازم تكلمه بلغته الأول.,CODE-D-2.svg,5d0ae6d4-39a2-4e4b-817c-2beab2e4cb8a
CODE,E,4swNQIxEON,🧩 عايز تخلي الكمبيوتر يعمل اللي في دماغك؟ لازم تكلمه بلغته الأول.,CODE-E-3.svg,7b1f0b77-4cb5-4142-9ca5-4656d012bc04
FIRE,F,Q2GUO1BdJA,🧩 تديني دفا ونور، بس لو سبتني برا السيطرة هولّع الدنيا. 🔥,FIRE-F-0.svg,d587dc71-f677-43f3-b309-3b762331dd16
FIRE,I,fCk80Q0wfz,🧩 تديني دفا ونور، بس لو سبتني برا السيطرة هولّع الدنيا. 🔥,FIRE-I-1.svg,4136bf19-ce42-47d7-b3c8-a036e5a9400d
FIRE,R,rAM5ACyGcG,🧩 تديني دفا ونور، بس لو سبتني برا السيطرة هولّع الدنيا. 🔥,FIRE-R-2.svg,6bfed45c-88b0-424c-9154-e83e99514d55
FIRE,E,UWi6ilEEcE,🧩 تديني دفا ونور، بس لو سبتني برا السيطرة هولّع الدنيا. 🔥,FIRE-E-3.svg,6d00dc7a-fda4-4309-ba29-0b7ca3b7fe82
STAR,S,jJFrHq_tg1,🧩 نقطة بتنور في السما من بعيد... بس متستهونش بحجمها الحقيقي. ⭐,STAR-S-0.svg,d7636992-0092-4db1-97c5-505f5906e106
STAR,T,rDyZ1ApKdE,🧩 نقطة بتنور في السما من بعيد... بس متستهونش بحجمها الحقيقي. ⭐,STAR-T-1.svg,7fed0f3c-4e0a-4e09-9dcf-d16a1c16f8e3
STAR,A,T-yuy_G5zG,🧩 نقطة بتنور في السما من بعيد... بس متستهونش بحجمها الحقيقي. ⭐,STAR-A-2.svg,74a650d8-78b7-4f46-b05a-29b4825467fb
STAR,R,C6oF4rAHlw,🧩 نقطة بتنور في السما من بعيد... بس متستهونش بحجمها الحقيقي. ⭐,STAR-R-3.svg,317218c4-3884-4500-9a50-bc3bdc5a4a97
MOON,M,OXb0W3k_21,🧩 بالليل ببانلك، مرة هلال ومرة كاملة... وبلف حوالين بيتنا الكبير. 🌙,MOON-M-0.svg,4f7d7b84-020d-4460-8b3c-7c56ece935f4
MOON,O,yzRHhlnwpl,🧩 بالليل ببانلك، مرة هلال ومرة كاملة... وبلف حوالين بيتنا الكبير. 🌙,MOON-O-1.svg,ccc61c63-09ae-4cd4-b6fb-006bd9fd83a3
MOON,O,6vSNLgAquK,🧩 بالليل ببانلك، مرة هلال ومرة كاملة... وبلف حوالين بيتنا الكبير. 🌙,MOON-O-2.svg,b990d655-c8a9-4636-af74-6c7ac3e4ea20
MOON,N,THtE8X0Ez-,🧩 بالليل ببانلك، مرة هلال ومرة كاملة... وبلف حوالين بيتنا الكبير. 🌙,MOON-N-3.svg,09d98e9d-966b-4102-bbcf-fe248f709d07
WAVE,W,HRdumjJi58,🧩 تشوفني في البحر، وتسمعني في الصوت... بس عمرك ما هتعرف تمسكني. 🌊,WAVE-W-0.svg,4287988c-c4eb-4736-b1b5-5c9e84825104
